iter	Passed	Remaining
398	3997	6021
399	3999	5999
400	4001	5976
401	4003	5954
402	4005	5933
403	4012	5918
404	4013	5896
405	4015	5874
406	4017	5852
407	4019	5832
408	4021	5810
409	4023	5789
410	4027	5772
411	4029	5750
412	4031	5729
413	4032	5708
414	4038	5692
415	4041	5673
416	4047	5658
417	4049	5637
418	4051	5617
419	4052	5596
420	4054	5576
421	4056	5555
422	4057	5535
423	4059	5514
424	4064	5499
425	4066	5479
426	4068	5459
427	4071	5441
428	4073	5421
429	4074	5401
430	4078	5384
431	4080	5365
432	4085	5349
433	4087	5330
434	4088	5310
435	4090	5291
436	4096	5277
437	4104	5267
438	4106	5248
439	4109	5230
440	4111	5211
441	4113	5192
442	4115	5173
443	4116	5155
444	4118	5136
445	4120	5117
446	4122	5099
447	4127	5085
448	4133	5072
449	4135	5054
450	4137	5036
451	4139	5018
452	4142	5001
453	4143	4983
454	4145	4965
455	4147	4947
456	4149	4930
457	4150	4912
458	4158	4901
459	4160	4884
460	4162	4866
461	4163	4848
462	4165	4831
463	4167	4814
464	4169	4796
465	4174	4783
466	4176	4766
467	4177	4749
468	4179	4732
469	4181	4715
470	4183	4698
471	4185	4682
472	4188	4666
473	4189	4649
474	4193	4634
475	4194	4618
476	4196	4601
477	4198	4584
478	4201	4569
479	4202	4553
480	4204	4536
481	4206	4521
482	4208	4505
483	4217	4496
484	4219	4480
485	4221	4464
486	4222	4448
487	4224	4432
488	4226	4416
489	4228	4400
490	4237	4393
491	4239	4377
492	4241	4361
493	4243	4346
494	4244	4330
495	4246	4314
496	4248	4300
497	4250	4284
498	4252	4269
499	4253	4253
500	4255	4238
501	4257	4223
502	4258	4208
503	4261	4194
504	4264	4179
505	4265	4164
506	4267	4149
507	4269	4134
508	4271	4120
509	4272	4105
510	4274	4090
511	4276	4075
512	4279	4062
513	4280	4047
514	4282	4033
515	4284	4018
516	4285	4004
517	4287	3989
518	4289	3975
519	4291	3960
520	4292	3946
521	4295	3933
522	4297	3919
523	4301	3907
524	4302	3892
525	4304	3878
526	4306	3864
527	4308	3851
528	4310	3838
529	4312	3824
530	4314	3810
531	4322	3802
532	4327	3791
533	4329	3778
534	4331	3764
535	4333	3750
536	4334	3737
537	4336	3724
538	4338	3710
539	4347	3703
540	4348	3689
541	4350	3676
542	4352	3663
543	4354	3649
544	4356	3637
545	4358	3624
546	4360	3611
547	4362	3598
548	4363	3584
549	4365	3571
550	4367	3559
551	4370	3546
552	4372	3534
553	4373	3521
554	4376	3508
555	4377	3495
556	4379	3483
557	4381	3470
558	4383	3457
559	4388	3448
560	4390	3435
561	4392	3423
562	4394	3410
563	4395	3398
564	4401	3388
565	4403	3376
566	4404	3363
567	4406	3351
568	4408	3339
569	4410	3326
570	4411	3314
571	4438	3321
572	4440	3308
573	4441	3296
574	4443	3284
575	4446	3272
576	4448	3261
577	4450	3249
578	4452	3237
579	4454	3225
580	4455	3213
581	4457	3201
582	4459	3189
583	4462	3178
584	4463	3166
585	4465	3154
586	4480	3152
587	4485	3142
588	4486	3130
589	4488	3119
590	4490	3107
591	4492	3095
592	4494	3084
593	4495	3072
594	4497	3061
595	4499	3049
596	4501	3038
597	4502	3027
598	4508	3017
599	4509	3006
600	4511	2995
601	4513	2983
602	4515	2972
603	4516	2961
604	4518	2950
605	4521	2939
606	4523	2928
607	4525	2917
608	4526	2906
609	4528	2895
610	4530	2884
611	4531	2873
612	4533	2862
613	4537	2852
614	4539	2841
615	4541	2830
616	4543	2820
617	4545	2809
618	4547	2798
619	4549	2788
620	4552	2778
621	4554	2767
622	4555	2756
623	4557	2746
624	4559	2735
625	4560	2724
626	4562	2714
627	4564	2703
628	4566	2693
629	4569	2683
630	4570	2673
631	4572	2662
632	4574	2652
633	4576	2641
634	4577	2631
635	4579	2620
636	4585	2613
637	4619	2621
638	4621	2610
